Name,Website,Domain,Country,City,Niche,Employees,Revenue,Phone,Facebook,Instagram,LinkedIn,Site Health Score,Top Flaws
"Chuku's Nigerian Tapas","https://www.chukuslondon.co.uk","chukuslondon.co.uk","United Kingdom","London","Restaurant","1–10","$0–500K","+44 20 3774 2800","https://www.facebook.com/chukusldn/","https://www.instagram.com/chukusldn/","https://www.linkedin.com/company/chukus",21,"Running jQuery 1.8.3 — a library from 2012. Site is over a decade out of date. | Hosted on cPanel with GoDaddy DNS — the cheapest possible stack for a restaurant | No online booking system or reservation widget detected | LESS CSS is deprecated — site almost certainly looks and feels dated | Zero SEO optimization tools or analytics beyond basic GA"
"Handycleans","https://handycleans.com","handycleans.com","United States","Venice, FL","Cleaning Service","1–10","$0–500K","+1 914-514-7075","https://www.facebook.com/handycleans/","","https://www.linkedin.com/company/handycleans",18,"Website has virtually zero detectable technology stack — likely a basic page builder or static HTML | No social media accounts linked anywhere on the site | Zero tech spend — no investment in website infrastructure or tools | No online booking, quoting, or scheduling system | Can't be found or ranked — no SEO tooling at all"
"NJ Restaurant & Hospitality Assoc.","https://www.njrha.org","njrha.org","United States","Trenton, NJ","Hospitality Association","1–10","$0–500K","","","","https://www.linkedin.com/company/new-jersey-restaurant-association",5,"An industry association using a Linktree page as their official web presence — that is their ONLY link. | No member directory, resources section, or industry news portal | No event ticketing or conference management system | Zero credibility signal for businesses they're supposed to represent | Can't rank on Google — a Linktree has no SEO value"
"Recipe Costing Software","https://www.recipe-costing.com","recipe-costing.com","United States","Miami, FL","Food & Beverage SaaS","1–10","$0–500K","","","","https://www.linkedin.com/company/recipe-costing-software",28,"A SaaS company with almost no front-end technology detected — basically a bare nginx server | No CMS, no blog, no content marketing infrastructure | No live chat or demo booking tools — losing trial signups daily | Only 1 social network despite being a B2B product | Site from 2013 with minimal updates — looks outdated compared to modern SaaS competitors"
"Gourmet Recruitment","https://www.gourmet-recruitment.com","gourmet-recruitment.com","United Kingdom","London","Chef Recruitment Agency","1–10","$0–500K","","","","https://www.linkedin.com/company/gourmetrecruitment",30,"Hosted on Hostinger — the lowest-tier UK web hosting, signals zero investment | Using a generic 'JobMonster' WordPress theme — looks like every other recruiter site | Only £557/year in tech spend for a recruitment agency competing in London | No CRM, ATS or automated candidate follow-up system visible | Multiple JS frameworks (Ember + jQuery) on same site = slow, cobbled together"
"DiRōNA Restaurants","https://dirona.com","dirona.com","United States","Niagara Falls, NY","Fine Dining Awards","1–10","$0–500K","","","","https://www.linkedin.com/company/dirona",34,"Founded 1990, website from 2002 — one of the oldest active sites I've seen | Generic WordPress Divi theme — looks nothing like a prestigious fine dining awards org | No application portal, membership system, or awards submission infrastructure | GoDaddy hosting for an organization claiming to be the gold standard of dining | No modern UX, no mobile-first design signals, no booking integration"
"Restaurant Technology Guys","https://restauranttechnologyguys.com","restauranttechnologyguys.com","United States","Trophy Club, TX","Restaurant Tech Blog","1–10","$0–500K","","","","https://www.linkedin.com/company/the-restaurant-technology-guys",38,"A tech-focused media brand running on a $693/year budget with generic WordPress | Only 1 social network for a podcast/content brand — terrible content distribution | Using AdRotate banner ads — a 2010-era monetization approach | No email capture beyond basic form, no modern newsletter tech | DNS Made Easy is an antiquated provider — site has never been fully modernized"
"The Talent Shop","https://www.thetalentshop.com","thetalentshop.com","United States","Washington D.C.","Restaurant Staffing","1–10","$0–500K","","","","https://www.linkedin.com/company/thetalentshop",33,"Zero tech spend — site appears to have had no investment in years | Built on Haley Marketing's rigid template — impossible to customize or stand out | Has 8 physical locations but no individual location pages for local SEO | No social media links despite being a staffing brand that needs social proof | PayPal-only checkout — extremely dated for a B2B service provider"
"Ace Plumbing Services","https://aceplumbingservices.co.uk","aceplumbingservices.co.uk","United Kingdom","Manchester","Plumbing","1–10","$0–500K","","","","",22,"Wix site — free-tier template with Wix branding, zero credibility | No online booking or instant quote form — forcing all leads to call | No Google Business Profile integration or review widget | No emergency callout page or 24/7 service highlight | Wix sites rank very poorly in local search — invisible to most customers"
"Pinnacle Roofing Co.","https://pinnacleroofingco.com","pinnacleroofingco.com","United States","Charlotte, NC","Roofing","1–10","$0–500K","","","","",26,"Generic Squarespace template — indistinguishable from thousands of other roofers | No financing calculator or insurance claim assistance page — huge missed opportunity | No before/after project gallery — roofing is a visual trade | Only 1 social profile — no Facebook which is essential for local trades | No individual service area pages — losing all local SEO traffic"
"Northern Air HVAC","https://northernairhvac.ca","northernairhvac.ca","Canada","Toronto, ON","HVAC","1–10","$0–500K","","","","",29,"GoDaddy-hosted WordPress — notoriously slow, hurts Google rankings | No seasonal AC/heating maintenance booking prompts | No maintenance subscription or service plan portal | Missing emergency HVAC repair as a prominent landing page | No rebate calculator for high-efficiency unit upgrades — major sales tool missing"
"Sweet Crumb Bakehouse","https://sweetcrumbbakehouse.com","sweetcrumbbakehouse.com","United States","Austin, TX","Bakery","1–10","$0–500K","","","","",8,"No actual website — running entirely off a Facebook page in 2025 | No online ordering system for custom cakes or bulk orders | Can't take pre-orders or deposits online — losing revenue daily | No Google search presence beyond a basic Maps listing | Competitors with proper sites will always rank above them"
